Under_1_year,1–4,5–14,15–24,25–34,35–44,45–54,55–64,65–74,75–84,85_and_over
2.2,0.3,0.2,0.4,1.3,4.4,12.3,29.6,75.5,273,975.8
2.4,0.2,0.2,0.4,1.3,4.3,12.3,29.3,74.5,265.7,929.7
2.7,0.2,0.2,0.3,1.2,4.2,12.4,28.9,74.2,268.9,906
2.6,0.3,0.2,0.4,1.3,4.3,12.8,28.7,75.7,272.2,931.2
3.4,0.3,0.2,0.4,1.3,4.2,12.8,29.4,78.2,285.4,943.7
3.3,0.3,0.2,0.4,1.3,4.6,13.1,29.3,81.7,288.3,993.8
3.7,0.3,0.2,0.4,1.3,4.6,13.7,29.7,82.8,294.9,992.2
3.4,0.4,0.2,0.4,1.3,4.8,13.7,30.6,87.3,313.3,1071
3.2,0.3,0.2,0.5,1.3,5,14.5,31.7,91.4,320.8,1110.7
3.5,0.3,0.2,0.5,1.3,5.1,14.6,32.9,94.9,333.9,1131.7
0,0,0,0,0,0,0.2,2.7,23.6,214.1,1216.9
0,0,0,0,0,0,0.2,2.4,22.4,211.9,1174.2
0,0,0,0,0,0,0.2,2.1,19.6,185.6,1006.8
0,0,0,0,0,0,0.2,2.2,18.1,171.6,929.5
0,0,0,0,0,0,0.2,2.2,17.9,175.4,936.1
0,0,0,0,0,0,0.2,2.2,19.2,183.9,967.1
0,0,0,0,0,0,0.3,2.1,19.8,184.5,987.1
0,0,0,0,0,0,0.2,2,19.4,179.1,945.3
0,0,0,0,0,0,0.2,2.2,21.1,192.5,1002.2
0,0,0,0,0,0,0.2,2.2,20.2,175.8,928.7
0,0,0,0,0,0,0.2,2.1,19.9,175,923.4
0,0,0,0,0,0,0.2,2.1,20.2,177,935.5
0,0,0,0,0,0,0.2,1.8,19.5,168.5,875.3
0,0,0,0,0,0,0.2,2,20.7,164.1,846.8
0,0,0,0,0,0,0.1,1.9,19.6,157.7,790.9
0,0,0,0,0,0,0.2,2.1,18.6,147.2,725.4
0,0,0,0,0,0,0.2,2,18.7,139.6,667.7
0,0,0,0,0,0,0.2,1.9,17.4,129.5,601.3
0,0,0.1,0.5,1.8,5.1,14.6,34.4,69.9,137.9,263.6
0,0,0.1,0.4,1.8,4.9,14.4,34.7,70.6,143,267
0,0,0.1,0.4,1.6,4.9,13.9,33.3,69,141.8,268.6
0,0,0.1,0.4,1.6,4.8,13.5,33.2,68.5,145.7,279.5
0,0,0.1,0.4,1.5,4.6,13,32.5,69.7,145.8,285.7
0,0,0.1,0.4,1.6,4.5,13.4,33.3,72,148.8,289.5
0,0,0.1,0.4,1.5,4.4,12.5,32,67.6,144.1,285.5
0,0,0.1,0.4,1.5,4.5,12.8,32.1,69.6,145.8,282.6
0,0,0.1,0.5,1.4,4.4,12.6,33.3,74.7,153.2,298.9
0,0,0.1,0.4,1.5,4.6,13.1,34.1,76.7,161.9,302.2
0,0,0.1,0.4,1.7,4.8,13.1,35.8,80.6,166.2,310.4
0,0,0.1,0.5,1.6,4.7,13.4,36.9,85.7,177,338.8
0,0,0.1,0.4,1.5,4.6,13.4,36.8,86.2,176.6,328.2
0,0,0.1,0.4,1.7,4.6,13.9,38.3,90,180.7,335.1
0,0,0.1,0.4,1.6,4.8,13.7,37.5,90.9,182.4,337
0,0,0.1,0.4,1.5,4.3,13.6,38.1,91,181.1,328.6
0,0,0.1,0.4,1.6,4.3,13.1,37.8,90.7,179.5,319.7
0,0,0.1,0.4,1.4,4.3,12.9,38.3,91.8,178,317.2
4.9,0.6,0.2,0.4,0.9,1.9,4.3,9.9,27.9,102.4,426.2
6.3,0.9,0.6,1,2,3.2,6.5,11.7,29.5,107,433.8
5.5,0.9,0.2,0.5,0.9,2.1,5.1,10.9,30.5,118.6,512.3
5.4,0.7,0.3,0.4,0.8,1.8,4.3,9.5,28.2,113.5,506.7
6.5,0.8,0.2,0.4,0.9,1.9,4.6,9.9,31.6,127.3,547
6.6,0.7,0.3,0.4,0.9,2.1,5.1,11.2,35.1,142,644.9
6.8,0.8,0.2,0.4,0.8,2,4.6,10.8,34.2,139.1,622.8
8.1,1,0.4,0.5,1,2.2,5.2,11.2,36.9,150.8,703
6.7,0.7,0.2,0.4,0.9,2.2,4.8,11.2,37.2,156.6,732.4
7.5,0.7,0.2,0.5,0.9,2.2,4.6,10.8,36.2,148.3,700.1
7.6,0.7,0.2,0.5,0.9,2.4,4.7,11.9,39.1,160.3,744.1
8.4,0.8,0.2,0.5,0.8,2.4,4.6,11,37.2,157,751.8
