@relation Agglomerative-Entry-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute Gender string
@attribute Country string
@attribute Entry string
@attribute Continent string

@data
173,Male,Eritrea,November,AFRICA
174,Male,Mongolia,November,ASIA
175,Male,Egypt,November,AFRICA
176,Male,VietNam,November,ASIA
177,Male,Gambia,November,AFRICA
178,Male,Senegal,November,AFRICA
179,Male,Zimbabwe,November,AFRICA
180,Male,Ethiopia,November,AFRICA
181,Male,Egypt,November,AFRICA
182,Male,Haiti,November,AMERICA
183,Male,Nepal,November,ASIA
184,Male,Nepal,November,ASIA
185,Male,Ethiopia,November,AFRICA
186,Male,Cambodia,November,ASIA
187,Female,Ethiopia,November,AFRICA
188,Male,Egypt,November,AFRICA
189,Female,Egypt,November,AFRICA
190,Female,Egypt,November,AFRICA
191,Male,Egypt,November,AFRICA
192,Male,VietNam,November,ASIA
193,Male,Colombia,November,AMERICA
194,Male,Bangladesh,November,ASIA
195,Male,Colombia,November,AMERICA
196,Male,Kenya,November,AFRICA
197,Male,Mongolia,November,ASIA
198,Female,Mongolia,November,ASIA
199,Male,Ethiopia,November,AFRICA
200,Male,VietNam,November,ASIA
201,Male,Palestine,November,ASIA
202,Female,Ethiopia,November,AFRICA
203,Male,Mongolia,November,ASIA
204,Male,Ethiopia,November,ASIA
205,Male,Mongolia,November,ASIA
206,Male,Mongolia,Febraury,ASIA
207,Male,Eritrea,Febraury,AFRICA
208,Male,Egypt,Febraury,AFRICA
209,Female,Nepal,Febraury,ASIA
210,Male,Nepal,Febraury,ASIA
211,Male,Nepal,Febraury,ASIA
212,Male,Ethiopia,Febraury,AFRICA
213,Male,Ghana,Febraury,AFRICA
214,Male,Rwanda,Febraury,AFRICA
215,Male,VietNam,Febraury,ASIA
216,Male,Mongolia,Febraury,ASIA
217,Male,Mongolia,Febraury,ASIA
218,Male,VietNam,Febraury,ASIA
219,Male,VietNam,Febraury,ASIA
220,Female,VietNam,Febraury,ASIA
221,Male,Brazil,Febraury,AMERICA
222,Female,VietNam,Febraury,ASIA
223,Male,Kuwait,Febraury,ASIA
224,Male,Ethiopia,Febraury,AFRICA
225,Male,Ethiopia,Febraury,AFRICA
226,Female,Nepal,Febraury,ASIA
227,Male,Nepal,Febraury,ASIA
228,Male,VietNam,Febraury,ASIA
229,Male,Jordan,Febraury,ASIA
230,Male,Ethiopia,Febraury,AFRICA
231,Male,Eritrea,Febraury,AFRICA
232,Male,Nepal,Febraury,ASIA
233,Male,Eritrea,Febraury,AFRICA
234,Male,Tunisia,Febraury,EUROPE
235,Male,Tunisia,Febraury,EUROPE
236,Male,Haiti,Febraury,AMERICA
237,Male,Egypt,Febraury,AFRICA
238,Male,Pakistan,Febraury,ASIA
239,Male,Turkey,Febraury,EUROPE
240,Male,China,Febraury,ASIA
241,Male,China,Febraury,ASIA
242,Male,Egypt,Febraury,AFRICA
243,Male,VietNam,Febraury,ASIA
244,Male,VietNam,Febraury,ASIA
245,Male,China,Febraury,ASIA
246,Male,Cameroon,Febraury,AFRICA
247,Male,Egypt,Febraury,AFRICA
248,Male,Egypt,Febraury,AFRICA
249,Male,Haiti,Febraury,AMERICA
250,Male,Haiti,Febraury,AMERICA
251,Male,Mongolia,Febraury,ASIA
252,Male,Ethiopia,Febraury,AFRICA
253,Male,China,Febraury,ASIA
254,Male,VietNam,Febraury,ASIA
255,Male,Eritrea,Febraury,AFRICA
256,Male,Cuba,Febraury,AMERICA
257,Male,VietNam,Febraury,ASIA
258,Male,VietNam,Febraury,ASIA
259,Male,VietNam,Febraury,ASIA
260,Male,VietNam,Febraury,ASIA
261,Male,Kazakhstan,Febraury,EUROPE
262,Male,Colombia,Febraury,AMERICA
263,Female,Eritrea,Febraury,AFRICA
264,Male,Eritrea,Febraury,AFRICA
265,Male,Uganda,Febraury,AFRICA
266,Male,Rwanda,Febraury,AFRICA
267,Female,Congo,the,Democratic
268,of,the,Febraury,AFRICA
269,Male,Mongolia,Febraury,ASIA
270,Male,Nepal,Febraury,ASIA
271,Male,Ethiopia,Febraury,AFRICA
272,Male,Congo,the,Democratic
273,of,the,Febraury,AFRICA
274,Male,Nepal,Febraury,ASIA
